name,order,period,rade,tran_depth_ppm,tran_dur_hr,masse,masse_est,semi_au,st_mass,st_rad,st_teff,st_log_lum,Kmag,insol,t_eq,esm,disposition
55 Cnc e,0,0.73655,1.87500,375.00000,1.55502,7.99000,,0.01544,0.91000,0.94000,5172.00000,-0.19700,4.01500,2657.83000,1999.79846,81.69482,Confirmed
HD 219134 b,1,3.09293,1.60200,358.00000,0.94500,4.74000,,0.03876,0.81000,0.78000,4699.00000,-0.57700,3.26100,176.20000,1014.18689,37.64079,Confirmed
LHS 3844 b,2,0.46293,1.30300,4489.91000,0.52120,,2.25008,0.00622,0.15000,0.19000,3036.00000,-2.56500,9.14500,70.10000,806.14782,32.67659,Confirmed
HD 219134 c,6,6.76458,1.51100,318.00000,1.66000,4.36000,,0.06530,0.81000,0.78000,4699.00000,-0.57700,3.26100,62.10000,781.36380,18.41828,Confirmed
GJ 1252 b,7,0.51824,1.18000,797.26000,0.72400,1.32000,,0.00915,0.38000,0.39000,3458.00000,-1.70800,7.91500,233.00000,1088.55238,16.71516,Confirmed
GJ 9827 b,10,1.20898,1.57700,586.00000,1.26480,4.91000,,0.01880,0.61000,0.60000,4340.00000,-0.94200,7.19300,256.00000,1180.26887,15.04806,Confirmed
K2-141 b,11,0.28032,1.54553,414.27294,0.94000,5.08000,,0.00765,0.76000,0.69600,4385.00000,-0.79221,8.40100,2757.39012,2016.90031,14.82173,Confirmed
LTT 3780 b,14,0.76845,1.33200,1087.00000,0.80500,2.62000,,0.01211,0.40000,0.37000,3331.00000,-1.77700,8.20400,106.00000,909.36410,14.30265,Confirmed
HD 213885 b,16,1.00804,1.74500,200.00000,1.50248,8.83000,,0.02012,1.07000,1.10000,5978.00000,0.13900,6.41900,3253.81000,2125.67023,13.28305,Confirmed
TOI-1416.01,17,1.06949,1.57323,392.46966,1.48123,,3.09856,0.01908,0.81000,0.80187,4946.00000,-0.46008,7.70800,952.41265,1546.20177,10.97253,Candidate
L 168-9 b,18,1.40150,1.39000,619.12000,1.32199,4.60000,,0.02091,0.62000,0.60000,3800.00000,-1.17200,7.08200,149.37000,980.35386,13.58112,Confirmed
HD 3167 b,19,0.95965,1.58212,294.00000,1.60900,4.73000,,0.01885,0.97000,0.84600,5558.00000,-0.21089,7.06600,1732.09716,1795.57248,12.23318,Confirmed
TOI-2290.01,20,0.38623,1.48588,600.86643,0.90943,,2.81216,0.00855,0.55969,0.56630,3863.00000,-1.19151,9.07200,879.42261,1515.68616,11.76658,Candidate
TOI-522.01,21,0.39785,1.35424,45.69089,1.59018,,2.40236,0.01259,1.68100,1.86219,7381.00000,0.96721,6.93100,58522.96137,4329.03854,4.81952,Candidate
HD 158259 b,26,2.17800,1.29200,70.00000,2.04400,2.22000,,0.03374,1.08000,1.21000,5801.89000,0.21200,4.96500,794.22000,1711.99469,6.75826,Confirmed
TOI-836.02,27,3.81673,1.69509,580.00000,1.60200,,3.51697,0.04161,0.66000,0.69103,4250.00000,-0.85276,6.80400,81.05013,835.11889,8.74656,Candidate
TOI-1263.01,29,1.02289,1.34989,210.00000,1.15600,,2.38927,0.01889,0.86000,0.81823,5098.00000,-0.38996,7.10200,1141.30482,1617.74584,8.06364,Candidate
HR 858 c,31,5.97293,1.93900,184.00000,2.90160,,4.41869,0.06740,1.15000,1.31000,6201.00000,0.37100,5.14900,512.00000,1327.33312,9.82166,Confirmed
GJ 1132 b,33,1.62893,1.13000,2512.12000,0.80928,1.66000,,0.01530,0.18000,0.21000,3270.00000,-2.35900,8.32200,20.96000,578.71423,9.62050,Confirmed
TOI-1835.01,34,5.64196,1.82458,543.83885,3.08715,,3.98518,0.06010,0.91000,0.78248,5297.00000,-0.36224,6.49200,120.21402,921.61314,9.09028,Candidate
TOI-539.01,39,0.30960,1.52321,248.24857,0.98434,,2.93316,0.00831,0.80000,0.81312,4902.00000,-0.46350,9.22700,4975.47302,2337.59071,6.56825,Candidate
L 98-59 c,40,3.69068,1.38500,1745.60000,1.34600,2.22000,,0.03040,0.27000,0.30000,3415.00000,-1.94800,7.10100,12.80000,520.14339,7.77597,Confirmed
EPIC 212679181.01,41,1.05460,1.45573,633.81485,0.46080,,2.71597,0.01645,0.53400,0.53000,3656.00000,-1.34473,8.58800,167.07857,1000.66813,7.62653,Candidate
EPIC 201264302.01,42,0.21220,1.18004,725.00000,0.62400,,1.75912,0.00526,0.43200,0.43200,3546.00000,-1.57538,10.35700,959.60741,1549.11364,9.09354,Candidate
TOI-540 b,44,1.23915,0.90300,2318.66000,0.48877,,0.67418,0.01223,0.16000,0.19000,3216.00000,-2.46100,8.90000,23.40000,610.37488,8.20490,Confirmed
LP 791-18 b,46,0.94800,1.12000,4275.06000,0.61200,,1.45884,0.00969,0.14000,0.17000,2960.00000,-2.69700,10.64400,21.50000,598.61554,7.13744,Confirmed
LTT 1445 A b,47,5.35877,1.30500,2030.00000,1.36700,2.87000,,0.03813,0.26000,0.27000,3340.00000,-2.04600,6.49600,5.40000,438.96154,6.50779,Confirmed
TOI-864.01,50,0.52067,1.00474,626.63551,0.57082,,0.98847,0.00925,0.38991,0.39861,3474.00000,-1.68089,9.21900,243.50914,1099.48344,7.30795,Candidate
TOI-1449.02,51,2.36918,1.68855,727.85187,1.65386,,3.49395,0.02920,0.59165,0.60438,5780.00000,-0.43497,8.71000,430.84500,1268.06099,7.53044,Candidate
TOI-238.01,53,1.27310,1.86158,378.70513,1.62416,,4.12335,0.02169,0.84000,0.76603,5029.00000,-0.47089,8.59800,718.73906,1441.12844,6.11325,Candidate
GJ 357 b,55,3.93072,1.21700,1127.96000,1.53000,1.84000,,0.03500,0.34000,0.34000,3505.00000,-1.79800,6.47500,12.60000,528.47671,6.84546,Confirmed
TOI-2079.01,56,1.49232,1.21248,550.00000,1.06300,,1.93866,0.01999,0.47851,0.48055,3577.00000,-1.46775,8.61000,85.23892,845.70591,4.62784,Candidate
TOI-1776.01,59,2.80099,1.40339,204.85533,1.49854,,2.55226,0.03915,1.02000,0.94541,5723.87000,-0.06331,6.68700,564.07891,1356.42206,6.14765,Candidate
HD 80653 b,60,0.71957,1.61697,159.64000,1.79760,5.60000,,0.01568,0.99300,1.22300,5891.00000,0.21030,8.01800,6602.38989,2508.91051,6.54136,Confirmed
