name,order,period,rade,tran_depth_ppm,tran_dur_hr,masse,masse_est,semi_au,st_mass,st_rad,st_teff,st_log_lum,Kmag,insol,t_eq,esm,disposition
55 Cnc e,0,0.73655,1.87500,375.00000,1.55502,7.99000,,0.01544,0.91000,0.94000,5172.00000,-0.19700,4.01500,2657.83000,1999.79846,81.69482,Confirmed
HD 219134 b,1,3.09293,1.60200,358.00000,0.94500,4.74000,,0.03876,0.81000,0.78000,4699.00000,-0.57700,3.26100,176.20000,1014.18689,37.64079,Confirmed
LHS 3844 b,2,0.46293,1.30300,4489.91000,0.52120,,2.25008,0.00622,0.15000,0.19000,3036.00000,-2.56500,9.14500,70.10000,806.14782,32.67659,Confirmed
HD 219134 c,6,6.76458,1.51100,318.00000,1.66000,4.36000,,0.06530,0.81000,0.78000,4699.00000,-0.57700,3.26100,62.10000,781.36380,18.41828,Confirmed
GJ 1252 b,7,0.51823,1.19300,797.26000,0.72400,1.32000,,0.00915,0.38000,0.39000,3458.00000,-1.70800,7.91500,233.00000,1088.55238,16.71516,Confirmed
GJ 9827 b,10,1.20898,1.57700,586.00000,1.25976,5.14000,,0.01880,0.61000,0.60000,4305.00000,-0.94200,7.19300,318.00000,1180.26887,15.19970,Confirmed
K2-141 b,11,0.28032,1.51000,507.00000,0.94000,4.97000,,0.00747,0.71000,0.68000,4570.00000,-0.75000,8.40100,3260.00000,2091.21929,18.19179,Confirmed
LTT 3780 b,14,0.76838,1.32000,903.99000,0.81800,2.47000,,0.01211,0.38000,0.38000,3360.00000,-1.77700,8.20400,116.00000,909.36410,11.75991,Confirmed
HD 213885 b,16,1.00804,1.74500,200.00000,1.41000,8.83000,,0.02012,1.07000,1.10000,5978.00000,0.13900,6.41900,1882.94000,2125.67023,13.28305,Confirmed
L 168-9 b,18,1.40150,1.39000,619.12000,1.32199,4.60000,,0.02091,0.59000,0.60000,3794.00000,-1.17200,7.08200,149.37000,980.35386,13.60848,Confirmed
HD 3167 b,19,0.95964,1.67000,294.00000,1.60900,4.97000,,0.01796,0.84000,0.88000,5261.00000,-0.27000,7.06600,1650.00000,1777.89747,12.85706,Confirmed
TOI-2290.01,20,0.38622,1.19888,437.63812,0.91224,,1.86186,0.00855,0.55969,0.56630,3863.00000,-1.19151,9.07200,879.43594,1515.69190,8.57019,Candidate
TOI-522.01,21,0.39785,1.35424,45.69089,1.59018,,2.40236,0.01259,1.68100,1.86219,7381.00000,0.96721,6.93100,58521.67957,4329.01483,4.81949,Candidate
HD 158259 b,26,2.17800,1.28500,112.00000,2.10100,2.22000,,0.03374,1.08000,1.21000,5801.89000,0.21200,4.96500,802.73000,1711.98532,10.81312,Confirmed
TOI-1263.01,29,1.02289,1.34989,210.00000,1.15600,,2.38927,0.01889,0.86000,0.81823,5098.00000,-0.38996,7.10200,1141.27982,1617.73698,8.06357,Candidate
HR 858 c,31,5.97293,1.93900,184.00000,2.90160,,4.41869,0.06740,1.15000,1.31000,6201.00000,0.37100,5.14900,512.00000,1327.33312,9.82166,Confirmed
GJ 1132 b,33,1.62893,1.13000,2512.12000,0.80928,1.66000,,0.01530,0.18000,0.21000,3270.00000,-2.35900,8.32200,20.96000,578.71423,9.62050,Confirmed
TOI-1835.01,34,5.64196,1.82458,543.83885,3.08715,,3.98518,0.06010,0.91000,0.78248,5297.00000,-0.36224,6.49200,120.21139,921.60809,9.09017,Candidate
TOI-539.01,39,0.30961,1.55270,257.70647,1.02989,,3.03020,0.00831,0.80000,0.81312,4902.00000,-0.46350,9.22700,4975.26859,2337.56670,6.81839,Candidate
L 98-59 c,40,3.69067,1.34000,1657.00000,1.10700,2.42000,,0.03170,0.31000,0.31000,3412.00000,-1.94800,7.10100,12.80000,509.36635,6.86666,Confirmed
EPIC 212679181.01,41,1.05460,0.82400,634.08949,,,0.48558,0.02023,0.53000,0.30000,3445.00000,-1.44300,8.58800,133.87896,852.74063,5.77083,Candidate
EPIC 201264302.01,42,0.21220,0.51900,725.00000,0.62400,,0.09262,0.00216,,0.19000,3383.50000,-1.94521,10.35700,380.73762,1956.31154,13.99312,Candidate
TOI-540 b,44,1.23915,0.90300,2318.66000,0.48877,,0.67418,0.01223,0.16000,0.19000,3216.00000,-2.46100,8.90000,23.40000,610.37488,8.20490,Confirmed
LP 791-18 b,46,0.94800,1.21200,4275.06000,0.61950,,1.93594,0.00978,0.14000,0.18000,2960.00000,-2.63800,10.64400,24.14000,616.43949,7.80410,Confirmed
LTT 1445 A b,47,5.35876,1.18000,1665.00000,1.39200,2.87000,,0.02200,0.26000,0.27000,3340.00000,-2.04600,6.49600,5.40000,577.89447,14.31179,Confirmed
TOI-864.01,50,0.52067,1.00474,626.63551,0.57082,,0.98847,0.00925,0.38991,0.39861,3474.00000,-1.68089,9.21900,243.50380,1099.47742,7.30787,Candidate
TOI-1449.02,51,2.36918,1.61420,699.31134,1.68404,,3.23679,0.02920,0.59165,0.60438,5780.00000,-0.43497,8.71000,430.83491,1268.05357,7.23508,Candidate
TOI-238.01,53,1.27310,1.86158,378.70513,1.62416,,4.12335,0.02169,0.84000,0.76603,5029.00000,-0.47089,8.59800,718.72332,1441.12055,6.11319,Candidate
GJ 357 b,55,3.93060,1.20000,955.00000,1.29100,1.84000,,0.03600,0.34000,0.34000,3505.00000,-1.79800,6.47500,12.60000,521.08507,5.52106,Confirmed
TOI-2079.01,56,1.49232,1.21248,550.00000,1.06300,,1.93866,0.01999,0.47851,0.48055,3577.00000,-1.46775,8.61000,85.23706,845.70128,4.62778,Candidate
TOI-1776.01,59,2.80099,1.40339,204.85533,1.49854,,2.55226,0.03915,1.02000,0.94541,5723.87000,-0.06331,6.68700,564.06656,1356.41463,6.14760,Candidate
HD 80653 b,60,0.71957,1.61300,159.64000,1.79760,5.72000,,0.01661,1.18000,1.22000,5959.00000,0.24000,8.01800,6130.00000,2479.56251,6.34936,Confirmed
K2-131 b,61,0.36930,1.69000,735.31000,1.01169,7.90000,,0.00936,0.80000,0.76000,5120.00000,-0.47900,10.05100,4070.00000,2183.59431,11.45539,Confirmed
TOI-494.01,62,1.70188,1.95823,570.00000,1.55100,,4.49336,0.02622,0.83000,0.79783,5006.52000,-0.44334,8.74100,524.18956,1331.77841,7.53920,Candidate
TOI-1730.02,63,2.15552,1.48435,742.00000,1.44500,,2.80722,0.02641,0.52900,0.53224,3691.00000,-1.32451,8.21200,67.90496,798.97881,6.28022,Candidate
